rep	classifier	thisgene	distance	adm_time	adm_amount	sel_time	m2_s	m2freq_p1	m2freq_p3	start	end	num_alleles	meanp1	Dstat	fD	Het	divratioavg	Q_10_100_q95	Q_10_100_q90	Q_10_100_max	Q_1_100_q95	Q_1_100_q90	Q_1_100_max	U_10_0_100	U_10_20_100	U_10_50_100	U_10_80_100	U_1_0_100	U_1_20_100	U_1_50_100	U_1_80_100	p1_S	p2_S	p3_S	thetaW1	thetaW2	thetaW3	thetapi1	thetapi2	thetapi3	thetaH1	thetaH2	thetaH3	p1_H1	p1_H2	p1_H12	p1_H2H1	p2_H1	p2_H2	p2_H12	p2_H2H1	p3_H1	p3_H2	p3_H12	p3_H2H1	Zns1	Zns2	Zns3	
0	0	seg1	1731310.5	8730	0.02	48	0.0563668	1.0	0.79	4450001	4500000	32	0.1299482148886286	nan	0.0	2.1615432308646176e-05	1.6776472007722179	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	24	8	0.5454545454545455	4.086475997147038	1.3621586657156792	0.5	1.1971356783919596	1.0861809045226132	0.16666666666666666	0.17974874371859295	2.421356783919598	0.625	0.0625	1.0	0.1	0.27644999999999975	0.055549999999999766	0.4879499999999998	0.2009404955688183	0.28104999999999997	0.07854999999999995	0.45655	0.27948763565201906	Nan	0.012375006771362454	0.020079124961871527	
0	0	seg1	1741310.5	8730	0.02	48	0.0563668	1.0	0.79	4460001	4510000	34	0.1299482148886286	nan	0.0	2.335146702934059e-05	1.6036157024793407	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	26	9	0.0	4.427015663575958	1.532428498930139	0.0	1.340301507537688	1.1734170854271357	0.0	0.18733668341708543	2.454723618090452	1	0	1	0	0.20839999999999995	0.05237499999999992	0.37429999999999997	0.2513195777351244	0.25255	0.09254999999999997	0.40855	0.36646208671550173	Nan	0.007378101845487449	0.019482085855161563	
0	0	seg1	1751310.5	8730	0.02	48	0.0563668	1.0	0.79	4470001	4520000	29	0.1299482148886286	nan	0.0	1.853537070741415e-05	0.9124137931034483	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	21	8	0.0	3.5756664975036583	1.3621586657156792	0.0	0.892713567839196	0.9314070351758795	0.0	0.04195979899497487	0.9680904522613065	1	0	1	0	0.3368999999999998	0.017674999999999885	0.4442499999999998	0.052463639062035904	0.3053	0.14127499999999998	0.5645	0.46274156567310837	Nan	0.0030143447342485382	0.010649067990763886	
0	0	seg1	1761310.5	8730	0.02	48	0.0563668	1.0	0.79	4480001	4530000	35	0.1299482148886286	nan	0.0	2.0493409868197364e-05	0.859449275362319	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	25	11	0.0	4.256745830361497	1.872968165359059	0.0	1.3258793969849245	1.0297989949748747	0.0	0.15150753768844222	0.9702010050251256	1	0	1	0	0.21034999999999995	0.029724999999999974	0.31234999999999996	0.14131209888281426	0.29019999999999996	0.11797499999999997	0.5350499999999999	0.40652997932460366	Nan	0.008733274964758751	0.027222639069947464	
0	0	seg1	1771310.5	8730	0.02	48	0.0563668	1.0	0.79	4490001	4540000	38	0.1299482148886286	nan	0.0	2.646952939058781e-05	1.3705197642163496	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	26	12	0.5454545454545455	4.427015663575958	2.043237998573519	0.5	1.5102010050251258	1.3301005025125627	1.5	0.16819095477386933	1.0518090452261306	0.625	0.0625	1.0	0.1	0.18494999999999998	0.02892499999999995	0.27185	0.1563936198972693	0.20529999999999998	0.13507499999999997	0.34045000000000003	0.6579396005845104	Nan	0.017292544025531077	0.02577078685120691	
0	0	seg1	1781310.5	8730	0.02	48	0.0563668	1.0	0.79	4500001	4550000	36	0.1299482148886286	nan	0.0	1.4299285985719714e-05	0.8607819522471067	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	24	11	0.5454545454545455	4.086475997147038	1.872968165359059	0.5	1.4319095477386936	0.7185427135678393	1.5	0.16608040201005025	0.09552763819095478	0.625	0.0625	1.0	0.1	0.22094999999999998	0.027349999999999985	0.31775	0.12378366146186914	0.46185	0.04582499999999995	0.7263	0.09922052614485212	Nan	0.02033013691033107	0.037625735785440116	
0	0	seg1	1791310.5	8730	0.02	48	0.0563668	1.0	0.79	4510001	4560000	41	0.1299482148886286	nan	0.0	1.7421348426968543e-05	0.798848433242399	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	24	18	0.5454545454545455	4.086475997147038	3.064856997860278	0.5	1.8516582914572866	0.875427135678392	1.5	0.29909547738693465	0.09944723618090452	0.625	0.0625	1.0	0.1	0.1702	0.06129999999999998	0.2824	0.3601645123384253	0.4360499999999999	0.04542499999999988	0.6922999999999999	0.10417383327600022	Nan	0.026333472090414183	0.034074138347494405	
0	0	seg1	1801310.5	8730	0.02	48	0.0563668	1.0	0.79	4520001	4570000	45	0.1299482148886286	nan	0.0	3.386367727354547e-05	1.3041648912561314	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	26	21	0.5454545454545455	4.427015663575958	3.5756664975036583	0.5	2.097286432160804	1.7016582914572866	1.5	0.3147738693467337	1.2028643216080401	0.625	0.0625	1.0	0.1	0.12759999999999996	0.06757499999999997	0.21089999999999998	0.5295846394984325	0.2697499999999999	0.07614999999999988	0.45014999999999983	0.28229842446709885	Nan	0.026030010945193666	0.044624024566254535	
0	0	seg1	1811310.5	8730	0.02	48	0.0563668	1.0	0.79	4530001	4580000	41	0.1299482148886286	nan	0.0	3.3087661753235065e-05	1.2206355283306298	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	23	21	0.5454545454545455	3.916206163932578	3.5756664975036583	0.5	1.9114572864321608	1.6626633165829146	0.16666666666666666	0.2392964824120603	1.2016582914572864	0.625	0.0625	1.0	0.1	0.1293499999999999	0.06932499999999991	0.21019999999999991	0.5359489756474678	0.29174999999999995	0.07552499999999993	0.48239999999999994	0.2588688946015422	Nan	0.017947732854961054	0.04938475831673317	
0	0	seg1	1821310.5	8730	0.02	48	0.0563668	1.0	0.79	4540001	4590000	36	0.1299482148886286	nan	0.0	2.52315046300926e-05	1.0927782111285695	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	19	20	0.5454545454545455	3.235126831074738	3.4053966642891984	0.5	1.714824120603015	1.2678894472361806	0.16666666666666666	0.22487437185929648	1.1140201005025125	0.625	0.0625	1.0	0.1	0.1498	0.07957499999999998	0.25315	0.5312082777036047	0.47574999999999995	0.033524999999999916	0.7084999999999999	0.07046768260641076	Nan	0.021814713689179522	0.03620196140956285	
